t,cmd_px,cmd_py,cmd_pz,cmd_qx,cmd_qy,cmd_qz,cmd_qw,cmd_jaw_sep,grip_px,grip_py,grip_pz,grip_qx,grip_qy,grip_qz,grip_qw,grip_jaw_sep,peg_px,peg_py,peg_pz,peg_qx,peg_qy,peg_qz,peg_qw,f_gripper_peg,f_peg_table,f_peg_cuboid,f_cuboid_table
13,0.17944583882360265,0.23083067358904485,0.24486149607620541,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.17944583882360265,0.23083067358904485,0.24486149607620541,1.0,0.0,0.0,6.123233995736766e-17,0.010000463444483122,0.19999972177617018,0.19999972177617018,0.04999990183370858,2.7276887534147526e-06,-2.7276887534147657e-06,5.111717691674321e-22,0.9999999999925597,0.0,0.9810100108102109,0.0,9.809999999990811
14,0.1825289212664878,0.22620603081711366,0.2456322569398309,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.1825289212664878,0.22620603081711366,0.2456322569398309,1.0,0.0,0.0,6.123233995736766e-17,0.010000263670808746,0.1999997203611446,0.1999997203611446,0.04999990098407614,2.7415615228863087e-06,-2.741561522886322e-06,5.043685317465979e-22,0.9999999999924838,0.0,0.981005038362827,0.0,9.810000000009184
15,0.18514954113068632,0.2222750842487183,0.2462874035464677,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.18514954113068632,0.2222750842487183,0.2462874035464677,1.0,0.0,0.0,6.123233995736766e-17,0.010000183965723733,0.1999997196795196,0.1999997196795196,0.04999990057390308,2.7482441045958607e-06,-2.7482441045958734e-06,5.069260061795877e-22,0.9999999999924472,0.0,0.9810025304703607,0.0,9.809999999995267
16,0.1873770679130113,0.2189337795633385,0.24684427810058301,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.1873770679130113,0.2189337795633385,0.24684427810058301,1.0,0.0,0.0,6.123233995736766e-17,0.010000152166404944,0.19999971935021932,0.19999971935021932,0.049999900376042204,2.7514725287779842e-06,-2.751472528777997e-06,5.009337934999435e-22,0.9999999999924294,0.0,0.9810012225244313,0.0,9.809999999999976
17,0.1892704656285925,0.21609367053137063,0.2473176214419019,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.1892704656285925,0.21609367053137063,0.2473176214419019,1.0,0.0,0.0,6.123233995736766e-17,0.010000139480615613,0.19999971919122084,0.19999971919122084,0.049999900280524666,2.753031330644611e-06,-2.7530313306446227e-06,5.0059936696322965e-22,0.9999999999924208,0.0,0.98100058930769,0.0,9.81000000000005
18,0.19087985366298676,0.21367957783034816,0.2477199632676953,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19087985366298676,0.21367957783034816,0.2477199632676953,1.0,0.0,0.0,6.123233995736766e-17,0.010000134420589583,0.19999971911446188,0.19999971911446188,0.04999990023440993,2.753783864179603e-06,-2.7537838641796135e-06,4.997495681307978e-22,0.9999999999924166,0.0,0.9810002844684214,0.0,9.810000000000084
19,0.19224783348070804,0.2116275990229652,0.2480619538127025,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19224783348070804,0.2116275990229652,0.2480619538127025,1.0,0.0,0.0,6.123233995736766e-17,0.010000132402879579,0.1999997190774048,0.1999997190774048,0.04999990021214691,2.7541471645091553e-06,-2.754147164509165e-06,4.995702379589353e-22,0.9999999999924146,0.0,0.9810001373416395,0.0,9.809999999999995
20,0.19341061632021256,0.20988341703113114,0.24835264577261915,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19341061632021256,0.20988341703113114,0.24835264577261915,1.0,0.0,0.0,6.123233995736766e-17,0.010000131598788518,0.19999971905951464,0.19999971905951464,0.04999990020139906,2.754322554291416e-06,-2.754322554291425e-06,5.023958998561354e-22,0.9999999999924136,0.0,0.9810000663059812,0.0,9.810000000000045
21,0.19439898173110787,0.20840086233538865,0.24859973393693613,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19439898173110787,0.20840086233538865,0.24859973393693613,1.0,0.0,0.0,6.123233995736766e-17,0.010000131278729531,0.19999971905087735,0.19999971905087735,0.04999990019621015,2.7544072297016504e-06,-2.7544072297016585e-06,5.019079925416963e-22,0.9999999999924132,0.0,0.9810000320092305,0.0,9.817553425855634
22,0.1952390923290733,0.20714069084271197,0.24880975887582724,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.1952390923290733,0.20714069084271197,0.24880975887582724,1.0,0.0,0.0,6.123233995736766e-17,0.010000131151641927,0.19999971904670721,0.19999971904670721,0.04999990019370503,2.754448109717849e-06,-2.7544481097178564e-06,5.012633732752685e-22,0.999999999992413,0.0,0.9810000154536084,0.0,9.833123620921379
23,0.19595318633671838,0.20606954507331127,0.2489882800735089,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19595318633671838,0.20606954507331127,0.2489882800735089,1.0,0.0,0.0,6.123233995736766e-17,0.010000131101425606,0.19999971904469374,0.19999971904469374,0.04999990019249561,2.7544678457832596e-06,-2.754467845783266e-06,4.994539156852951e-22,0.9999999999924128,0.0,0.9810000074608061,0.0,9.567753622184085
24,0.19676249287831346,0.20485557986758776,0.23619060409730624,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19676249287831346,0.20485557986758776,0.23619060409730624,1.0,0.0,0.0,6.123233995736766e-17,0.010000131081782144,0.19999971904372135,0.19999971904372135,0.04999990019191164,2.754477375220399e-06,-2.7544773752204046e-06,5.0045073294691435e-22,0.9999999999924128,0.0,0.9810000036014598,0.0,10.143863223987271
25,0.19740993811139504,0.2038844077028145,0.22595246331622731,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.19740993811139504,0.2038844077028145,0.22595246331622731,1.0,0.0,0.0,6.123233995736766e-17,0.01000013107425849,0.19999971904325178,0.19999971904325178,0.049999900191629774,2.7544819750820567e-06,-2.754481975082061e-06,4.997818798734777e-22,0.9999999999924128,0.0,0.9810000017395661,0.0,9.748467642096754
26,0.1979278942977664,0.20310746997090195,0.2177619506913078,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.1979278942977664,0.20310746997090195,0.2177619506913078,1.0,0.0,0.0,6.123233995736766e-17,0.010000131071507738,0.19999971904302488,0.19999971904302488,0.04999990019149369,2.7544841958446363e-06,-2.7544841958446384e-06,5.00728613933946e-22,0.9999999999924127,0.0,0.9810000008393951,0.0,9.78115612769406
27,0.1983422592468181,0.20248591978532654,0.21120954059134497,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.1983422592468181,0.20248591978532654,0.21120954059134497,1.0,0.0,0.0,6.123233995736766e-17,0.010000131070611096,0.19999971904291522,0.19999971904291522,0.04999990019142805,2.75448526711679e-06,-2.7544852671167903e-06,5.010113416823793e-22,0.9999999999924127,0.0,0.9810000004056211,0.0,9.687180671439275
